id,created_at,text
856675083632422912,2017-04-25 01:03:50,Lineup note: Kevin Durant (calf) will start on Monday.
856674582065033217,2017-04-25 01:01:51,Lineup note: Kevin Durant (calf) won't have a minutes limit Monday.
856674175314010114,2017-04-25 01:00:14,@Jz2vador no word on a minute restriction. He'll be active and expected to start.
856673191380606976,2017-04-25 00:56:19,@MZJUlmer three fouls in nine minutes.
856669222344294400,2017-04-25 00:40:33,"Shaun Livingston (finger, hand) ruled out Monday. https://t.co/U4O9KXQyG5"
856669210231091202,2017-04-25 00:40:30,"Matt Barnes (ankle, foot) ruled out Monday. https://t.co/jChgKPsL3c"
856669184247427073,2017-04-25 00:40:24,Kevin Durant (calf) available to play Monday. https://t.co/140w9xb6SB
856659959509110785,2017-04-25 00:03:44,Gordon Hayward (illness) not on injury report for Tuesday. https://t.co/zdl5ZA5QVt
856659836125270017,2017-04-25 00:03:15,Alec Burks (knee) ruled out for Tuesday. https://t.co/iSxLQxAAmJ
856655014122708992,2017-04-24 23:44:05,"Lineup note: Hawks will start Schroder, Hardaway Jr., Prince, Millsap, Howard on Monday."
856651612772814850,2017-04-24 23:30:34,"Lineup note: Wizards will start Wall, Beal, Porter, Morris, Gortat on Monday."
856647913950375936,2017-04-24 23:15:53,"Status note: Tony Allen, Chandler Parsons remain out for Tuesday."
856644282421260288,2017-04-24 23:01:27,@chickenbone101 https://t.co/OiRRu0qeCL
856636655914057729,2017-04-24 22:31:08,"Lineup note: Raptors will start Lowry, DeRozan, Powell, Carroll, Ibaka on Monday."
856636533641814020,2017-04-24 22:30:39,Kyle Lowry (back) will start Monday. https://t.co/mZeJYOXBOh
856636463890538496,2017-04-24 22:30:23,"Lineup note: Bucks will start Brogdon, Snell, Middleton, Giannis, Maker on Monday."
856636374111453186,2017-04-24 22:30:01,@CamWakeTheBeast https://t.co/OiRRu0qeCL
856634466751709184,2017-04-24 22:22:27,Ersan Ilyasova (calf) available to play Monday. https://t.co/9JAsfKk33h
856633378069770240,2017-04-24 22:18:07,Lineup note: Kyle Lowry (back) listed as starter on Monday.
856630139156910080,2017-04-24 22:05:15,@High_OnLyfe @jjcallejr nothing official yet. You can view projected and confirmed lineups here: https://t.co/xbEhuTxQQj
856625729118883842,2017-04-24 21:47:43,@Hunta512 no.
856624010200743936,2017-04-24 21:40:53,@Sportsgreek1 nothing confirmed.
856622167894753280,2017-04-24 21:33:34,Khris Middleton (illness) will play Monday. https://t.co/dpkdJt89jq
856618288490696709,2017-04-24 21:18:09,Status note: Kyle Lowry (back) a game-time decision Monday.
856616390018682880,2017-04-24 21:10:37,@eLFLaYPicks nothing official yet. You can view projected and confirmed lineups here: https://t.co/xbEhuTxQQj
856616010178285568,2017-04-24 21:09:06,Lineup note: Austin Rivers (hamstring) will have a minutes limit Tuesday.
856609122501963780,2017-04-24 20:41:44,@yungkoopweewee nothing official yet. You can view projected and confirmed lineups here: https://t.co/xbEhuTxQQj
856601455662428160,2017-04-24 20:11:16,@BrandonGuittard https://t.co/OiRRu0qeCL
856595830245126144,2017-04-24 19:48:55,Status note: Rajon Rondo (thumb) remains out for Wednesday.
856595513227051009,2017-04-24 19:47:39,Lineup note: Isaiah Canaan will start ahead of Jerian Grant on Wednesday.
856593646925250560,2017-04-24 19:40:14,New from @jjcallejr -- NBA Breakdown: Monday 4/24 https://t.co/IydAcgHy8C
856590646647369729,2017-04-24 19:28:19,Austin Rivers (hamstring) said he'll play Tuesday. https://t.co/3Lj7hH8z9p
856575144675786752,2017-04-24 18:26:43,"Status note: Kevin Durant, Shaun Livingston, Matt Barnes to be game-time decisions Monday."
856572659437420546,2017-04-24 18:16:51,"Status note: Kevin Durant, Shaun Livingston, Matt Barnes remain questionable Monday."
856572482484019200,2017-04-24 18:16:08,Status note: Kevin Durant (calf) went through shootaround Monday.
856565084876832772,2017-04-24 17:46:45,Dewayne Dedmon (illness) expected to play Tuesday. https://t.co/5d5fs5AUxS
856550169239793665,2017-04-24 16:47:28,Austin Rivers (hamstring) expected to play Tuesday. https://t.co/3Lj7hH8z9p
856539114887405568,2017-04-24 16:03:33,Otto Porter (neck) will play Monday. https://t.co/c0iSiHbTv0
856536385217548288,2017-04-24 15:52:42,Khris Middleton (illness) expected to play Monday. https://t.co/dpkdJt89jq
856531955856191488,2017-04-24 15:35:06,Status note: Otto Porter (neck) went through shootaround Monday; remains probable.
