,team,position,Height,Weight,Birthdate,Full_name,age,First_name,Last_name,player
0,OKC,SG,"6'6""",190,8/01/1993, Alex  Abrines,23.7453798768,Alex,Abrines,A. AbrinesA. Abrines
1,BKN,F,"6'7""",240,10/06/1990, Quincy  Acy,26.5653661875,Quincy,Acy,Q. AcyQ. Acy
2,FA,SG,"6'5""",209,7/08/1994, Jordan  Adams,22.8117727584,Jordan,Adams,J. AdamsJ. Adams
3,OKC,C,"7'0""",255,7/20/1993, Steven  Adams,23.7782340862,Steven,Adams,S. AdamsS. Adams
4,SAC,G/F,"6'5""",210,10/15/1985, Arron  Afflalo,31.5400410678,Arron,Afflalo,A. AfflaloA. Afflalo
5,NO,F/C,"7'2""",248,5/06/1988, Alexis  Ajinca,28.9828884326,Alexis,Ajinca,A. AjincaA. Ajinca
6,MIN,C,"6'11""",250,10/31/1988, Cole  Aldrich,28.4955509925,Cole,Aldrich,C. AldrichC. Aldrich
7,SA,F/C,"6'11""",260,7/19/1985, LaMarcus  Aldridge,31.780971937,LaMarcus,Aldridge,L. AldridgeL. Aldridge
8,FA,PF,"6'8""",245,11/16/1995, Cliff  Alexander,21.453798768,Cliff,Alexander,C. AlexanderC. Alexander
9,IND,F/C,"6'9""",260,2/04/1989, Lavoy  Allen,28.2327173169,Lavoy,Allen,L. AllenL. Allen
10,MEM,G/F,"6'4""",213,1/11/1982, Tony  Allen,35.2991101985,Tony,Allen,T. AllenT. Allen
11,POR,F,"6'9""",220,9/21/1990, Al-Farouq  Aminu,26.6064339493,Al-Farouq,Aminu,A. AminuA. Aminu
12,FA,PF,"6'9""",225,12/07/1982, Louis  Amundson,34.3956194387,Louis,Amundson,L. AmundsonL. Amundson
13,CHA,F/C,"6'10""",245,7/07/1978, Chris  Andersen,38.8145106092,Chris,Andersen,C. AndersenC. Andersen
14,LAC,G/F,"6'6""",220,10/16/1982, Alan  Anderson,34.5379876797,Alan,Anderson,A. AndersonA. Anderson
15,FA,G/F,"6'6""",215,3/25/1989, James  Anderson,28.0985626283,James,Anderson,J. AndersonJ. Anderson
16,PHI,SF,"6'6""",228,11/19/1993, Justin  Anderson,23.4442162902,Justin,Anderson,J. AndersonJ. Anderson
17,SA,G/F,"6'9""",230,9/20/1993, Kyle  Anderson,23.6084873374,Kyle,Anderson,K. AndersonK. Anderson
