id,team,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,position
400578298,BKN,K. GarnettK. Garnett,23,5-8,0-0,0-0,0,6,6,3,0,0,4,2,-11,10,PF
400578298,BKN,J. JohnsonJ. Johnson,34,7-19,2-5,3-5,2,4,6,3,1,0,2,4,-30,19,SF
400578298,BKN,M. PlumleeM. Plumlee,11,2-2,0-0,0-0,1,3,4,0,0,2,2,4,-6,4,C
400578298,BKN,D. WilliamsD. Williams,39,6-16,0-3,7-7,0,3,3,8,2,1,4,1,-16,19,PG
400578298,BKN,B. BogdanovicB. Bogdanovic,26,3-6,1-2,0-0,0,0,0,2,0,1,2,3,-8,7,SG
400578298,BKN,C. JeffersonC. Jefferson,9,2-2,0-0,4-6,1,1,2,0,0,0,0,1,+16,8,PF
400578298,BKN,M. TeletovicM. Teletovic,23,8-11,4-6,0-0,2,4,6,1,0,2,2,1,+4,20,PF
400578298,BKN,A. KirilenkoA. Kirilenko,10,0-3,0-0,3-4,2,1,3,0,1,0,0,0,-8,3,SF
400578298,BKN,J. JordanJ. Jordan,6,0-0,0-0,0-0,1,1,2,0,0,0,1,2,-12,0,C
400578298,BKN,J. JackJ. Jack,30,5-9,0-0,1-2,0,2,2,2,2,0,1,1,-7,11,PG
400578298,BKN,S. KarasevS. Karasev,3,0-0,0-0,0-0,0,3,3,0,0,0,1,0,+3,0,SG
400578298,BKN,A. AndersonA. Anderson,25,1-4,0-3,2-2,0,2,2,1,0,1,1,2,-5,4,SG
400578298,BKN,TE,,39-80,7-19,20-26,9,30,39,20,6,7,20,21,,105,AM
400578298,BKN,,,48.8%,36.8%,76.9%,,,,,,,,,,, 
400578298,BOS,J. GreenJ. Green,36,4-10,2-3,7-9,2,4,6,3,2,0,0,5,+15,17,SF
400578298,BOS,J. SullingerJ. Sullinger,28,5-9,1-3,2-3,0,4,4,2,0,2,1,2,+11,13,C
400578298,BOS,K. OlynykK. Olynyk,29,8-14,1-2,2-2,4,2,6,2,1,0,1,4,+5,19,C
400578298,BOS,R. RondoR. Rondo,30,6-9,1-3,0-4,0,7,7,12,1,1,3,1,+13,13,PG
400578298,BOS,A. BradleyA. Bradley,30,7-13,1-3,0-0,0,0,0,0,0,0,1,5,-4,15,SG
400578298,BOS,B. BassB. Bass,16,4-7,0-1,0-0,1,1,2,1,2,0,3,0,+3,8,PF
400578298,BOS,T. ZellerT. Zeller,6,3-4,0-0,0-0,0,1,1,1,0,0,0,1,+4,6,C
400578298,BOS,M. SmartM. Smart,28,3-7,1-4,3-3,1,1,2,2,4,0,0,2,+20,10,PG
400578298,BOS,M. ThorntonM. Thornton,14,4-6,1-2,1-1,0,0,0,0,0,1,0,2,-1,10,SG
400578298,BOS,E. TurnerE. Turner,24,5-9,0-1,0-1,1,6,7,5,1,1,3,3,+14,10,SG
400578298,BOS,TE,,49-88,8-22,15-23,9,26,35,28,11,5,12,25,,121,AM
400578298,BOS,,,55.7%,36.4%,65.2%,,,,,,,,,,, 
400578724,BKN,K. GarnettK. Garnett,17,3-5,0-0,0-0,1,3,4,1,0,0,1,0,-6,6,PF
400578724,BKN,J. JohnsonJ. Johnson,35,4-13,0-3,1-2,1,1,2,1,0,0,1,0,-6,9,SF
400578724,BKN,M. PlumleeM. Plumlee,36,6-7,0-0,2-6,3,9,12,3,0,1,4,2,-1,14,C
400578724,BKN,J. JackJ. Jack,34,8-14,1-2,10-10,0,7,7,5,3,1,4,1,+0,27,PG
400578724,BKN,S. KarasevS. Karasev,26,3-7,1-2,0-0,4,1,5,2,1,0,1,2,-8,7,SG
400578724,BKN,M. TeletovicM. Teletovic,22,4-11,2-5,1-2,1,3,4,0,2,1,1,1,+4,11,PF
400578724,BKN,B. LopezB. Lopez,14,4-7,0-0,0-0,1,0,1,0,0,0,1,1,-5,8,C
400578724,BKN,D. WilliamsD. Williams,21,2-6,0-2,4-6,1,3,4,4,0,0,1,1,+6,8,PG
400578724,BKN,B. BogdanovicB. Bogdanovic,12,2-6,0-3,0-0,0,3,3,1,1,0,1,1,+9,4,SG
400578724,BKN,A. AndersonA. Anderson,25,5-7,3-4,2-2,1,0,1,2,2,0,0,1,+17,15,SG
400578724,BKN,TE,,41-83,7-21,20-28,13,30,43,19,9,3,15,10,,109,AM
400578724,BKN,,,49.4%,33.3%,71.4%,,,,,,,,,,, 
400578724,BOS,J. GreenJ. Green,34,10-18,1-5,1-2,0,3,3,5,0,0,0,3,+3,22,SF
400578724,BOS,J. SullingerJ. Sullinger,32,8-16,2-5,1-1,2,6,8,2,0,0,1,2,+7,19,C
400578724,BOS,T. ZellerT. Zeller,24,6-9,0-0,2-2,2,7,9,1,1,1,2,1,+1,14,C
400578724,BOS,M. SmartM. Smart,31,2-6,1-3,0-0,1,2,3,6,4,0,3,5,+3,5,PG
400578724,BOS,A. BradleyA. Bradley,32,7-14,3-5,0-0,0,4,4,2,1,0,1,3,+5,17,SG
400578724,BOS,B. WrightB. Wright,6,2-3,0-0,0-0,0,1,1,1,1,0,3,1,-1,4,PF
400578724,BOS,B. BassB. Bass,4,2-2,0-0,0-0,0,0,0,0,0,0,0,0,-7,4,PF
400578724,BOS,J. CrowderJ. Crowder,16,1-4,0-2,1-1,0,1,1,0,0,0,1,0,-3,3,SF
400578724,BOS,G. WallaceG. Wallace,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0,SF
400578724,BOS,K. OlynykK. Olynyk,24,5-8,0-2,1-2,0,3,3,1,0,2,1,3,+0,11,C
400578724,BOS,J. NelsonJ. Nelson,17,1-3,1-1,2-3,0,3,3,8,0,0,0,2,-5,5,PG
400578724,BOS,E. TurnerE. Turner,21,1-4,1-1,0-0,0,2,2,6,1,0,2,3,-13,3,SG
400578724,BOS,TE,,45-87,9-24,8-11,5,32,37,32,8,3,14,23,,107,AM
400578724,BOS,,,51.7%,37.5%,72.7%,,,,,,,,,,, 
400578819,BOS,J. GreenJ. Green,33,4-11,0-3,0-0,0,1,1,2,1,0,1,2,-1,8,SF
400578819,BOS,J. SullingerJ. Sullinger,24,1-7,0-1,0-0,3,3,6,3,1,0,1,3,-2,2,C
400578819,BOS,T. ZellerT. Zeller,31,7-14,0-0,4-4,3,3,6,4,1,1,1,2,+12,18,C
400578819,BOS,E. TurnerE. Turner,26,3-9,0-2,0-0,1,7,8,7,2,0,0,3,+2,6,SG
400578819,BOS,A. BradleyA. Bradley,34,7-12,3-5,4-4,0,4,4,1,0,0,2,2,+4,21,SG
400578819,BOS,B. BassB. Bass,20,3-8,0-0,3-6,1,3,4,0,0,1,0,0,-2,9,PF
400578819,BOS,J. CrowderJ. Crowder,15,2-7,0-0,2-2,3,2,5,0,2,0,0,3,+9,6,SF
