id,team,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,position
400899380,BKN,T. BookerT. Booker,24,4-5,0-1,0-0,1,6,7,5,3,0,1,0,+5,8,PF
400899380,BKN,R. Hollis-JeffersonR. Hollis-Jefferson,24,1-3,0-1,3-4,0,2,2,0,1,0,1,1,-9,5,SF
400899380,BKN,B. LopezB. Lopez,21,1-7,1-2,4-4,2,3,5,0,0,0,2,1,-10,7,C
400899380,BKN,J. LinJ. Lin,28,6-14,2-5,4-5,1,2,3,3,0,1,2,1,-3,18,PG
400899380,BKN,B. BogdanovicB. Bogdanovic,23,9-17,3-8,0-0,2,3,5,0,1,0,2,2,+2,21,SG
400899380,BKN,C. McCulloughC. McCullough,4,1-2,0-0,0-0,2,0,2,0,0,0,0,0,+14,2,PF
400899380,BKN,L. ScolaL. Scola,22,3-8,1-5,1-2,0,1,1,3,0,0,2,3,-19,8,PF
400899380,BKN,J. HarrisJ. Harris,25,6-15,4-9,0-0,0,4,4,3,2,2,3,3,+3,16,SF
400899380,BKN,J. HamiltonJ. Hamilton,25,7-12,3-6,2-3,6,4,10,2,0,0,1,4,+0,19,C
400899380,BKN,I. WhiteheadI. Whitehead,4,0-0,0-0,0-0,0,1,1,1,0,0,0,1,+12,0,PG
400899380,BKN,G. VasquezG. Vasquez,18,0-1,0-1,0-0,0,0,0,3,1,0,0,3,-13,0,PG
400899380,BKN,S. KilpatrickS. Kilpatrick,22,5-13,1-6,2-2,1,3,4,2,0,0,2,0,-7,13,SG
400899380,BKN,TE,,43-97,15-44,16-20,15,29,44,22,8,3,16,19,,117,AM
400899380,BKN,,,44.3%,34.1%,80.0%,,,,,,,,,,, 
400899380,BOS,A. JohnsonA. Johnson,20,4-6,0-0,0-1,4,3,7,2,1,0,4,2,+5,8,PF
400899380,BOS,J. CrowderJ. Crowder,29,9-15,3-8,0-0,0,5,5,2,2,1,2,2,+3,21,SF
400899380,BOS,A. HorfordA. Horford,27,5-8,1-4,0-0,1,4,5,6,0,4,2,2,+13,11,C
400899380,BOS,I. ThomasI. Thomas,33,7-14,2-7,9-9,0,6,6,8,2,0,3,3,+15,25,PG
400899380,BOS,A. BradleyA. Bradley,34,7-15,3-4,0-0,4,5,9,6,1,0,3,4,+3,17,SG
400899380,BOS,J. JerebkoJ. Jerebko,19,1-8,0-5,2-2,0,1,1,3,4,0,1,1,+2,4,PF
400899380,BOS,G. GreenG. Green,15,4-7,1-2,0-0,1,4,5,2,0,0,1,1,-9,9,SF
400899380,BOS,J. BrownJ. Brown,19,3-4,0-0,3-4,0,2,2,1,1,2,1,1,+0,9,SF
400899380,BOS,T. ZellerT. Zeller,16,6-7,0-0,1-2,2,2,4,3,0,2,1,2,-9,13,C
400899380,BOS,T. RozierT. Rozier,28,2-5,1-2,0-0,0,3,3,3,2,0,1,2,+2,5,PG
400899380,BOS,TE,,48-89,11-32,15-18,12,35,47,36,13,9,19,20,,122,AM
400899380,BOS,,,53.9%,34.4%,83.3%,,,,,,,,,,, 
400899667,BOS,A. JohnsonA. Johnson,19,1-2,0-0,0-0,2,7,9,1,0,0,1,2,+9,2,PF
400899667,BOS,J. CrowderJ. Crowder,22,6-11,3-7,0-1,1,4,5,1,0,0,0,2,+13,15,SF
400899667,BOS,A. HorfordA. Horford,30,7-12,3-4,0-0,1,4,5,8,1,2,2,2,+21,17,C
400899667,BOS,I. ThomasI. Thomas,32,8-21,5-9,2-2,0,1,1,5,0,1,2,1,+10,23,PG
400899667,BOS,A. BradleyA. Bradley,34,10-22,1-7,1-2,1,6,7,1,5,0,2,3,+20,22,SG
400899667,BOS,J. JerebkoJ. Jerebko,17,4-4,1-1,1-1,1,0,1,0,1,0,1,2,-8,10,PF
400899667,BOS,J. BrownJ. Brown,4,0-1,0-0,0-0,1,2,3,0,0,0,2,1,-2,0,SF
400899667,BOS,T. ZellerT. Zeller,8,1-2,0-0,0-0,1,3,4,0,0,2,0,1,+9,2,C
400899667,BOS,K. OlynykK. Olynyk,19,3-9,2-5,2-2,1,1,2,1,2,0,1,4,+0,10,C
400899667,BOS,M. SmartM. Smart,31,2-10,0-4,0-0,2,6,8,8,2,1,1,2,+13,4,PG
400899667,BOS,T. RozierT. Rozier,23,3-4,0-1,0-0,1,5,6,1,2,0,1,2,+6,6,PG
400899667,BOS,J. YoungJ. Young,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+4,0,SG
400899667,BOS,TE,,45-98,15-38,6-8,12,39,51,26,13,6,13,22,,111,AM
400899667,BOS,,,45.9%,39.5%,75.0%,,,,,,,,,,, 
400899667,BKN,T. BookerT. Booker,33,8-13,1-2,1-2,5,7,12,3,4,0,3,3,-34,18,PF
400899667,BKN,R. Hollis-JeffersonR. Hollis-Jefferson,15,1-4,1-2,1-4,1,3,4,2,0,1,0,2,-4,4,SF
400899667,BKN,B. LopezB. Lopez,28,4-14,1-6,4-5,1,2,3,2,2,1,0,1,-8,13,C
400899667,BKN,I. WhiteheadI. Whitehead,24,2-8,0-0,0-0,0,4,4,3,0,1,2,2,+0,4,PG
400899667,BKN,B. BogdanovicB. Bogdanovic,28,6-12,2-7,0-0,0,8,8,2,0,0,2,0,-6,14,SG
400899667,BKN,C. McCulloughC. McCullough,2,0-1,0-0,0-0,0,1,1,0,0,0,0,0,+1,0,PF
400899667,BKN,L. ScolaL. Scola,12,0-2,0-1,0-0,2,2,4,0,1,0,3,0,+5,0,PF
400899667,BKN,A. BennettA. Bennett,2,0-0,0-0,0-0,0,1,1,1,0,0,1,0,+1,0,PF
400899667,BKN,J. HarrisJ. Harris,25,4-7,4-6,0-0,0,3,3,0,0,0,3,2,-23,12,SF
400899667,BKN,J. HamiltonJ. Hamilton,19,0-2,0-1,2-3,0,0,0,0,0,1,0,0,-3,2,C
400899667,BKN,Y. FerrellY. Ferrell,8,0-3,0-1,0-0,0,1,1,0,0,0,0,0,-8,0,PG
400899667,BKN,R. FoyeR. Foye,12,1-3,0-1,0-0,0,2,2,2,0,0,2,1,-6,2,SG
