id,date,home_team,visit_team,home_team_score,visit_team_score,away_losses,away_wins,home_losses,home_wins
400578298,2014-10-29,BOS,BKN,121,105,1,0,0,1
400578724,2014-12-26,BOS,BKN,107,109,15,13,17,10
400578819,2015-01-07,BKN,BOS,81,89,21,12,19,16
400579341,2015-03-23,BKN,BOS,91,110,39,31,40,29
400578367,2014-11-07,BKN,NY,110,99,4,2,2,3
400578548,2014-12-02,NY,BKN,93,98,9,7,15,4
400578623,2014-12-12,BOS,NY,95,101,20,5,14,7
400579020,2015-02-03,NY,BOS,97,108,30,17,39,10
400579038,2015-02-06,BKN,NY,92,88,40,10,28,21
400579136,2015-02-25,BOS,NY,115,94,46,10,33,22
400579371,2015-03-27,NY,BOS,92,96,40,32,59,14
400579408,2015-04-01,NY,BKN,98,100,40,34,61,14
400578454,2014-11-19,PHI,BOS,90,101,6,4,11,0
400578479,2014-11-22,NY,PHI,91,83,13,0,10,4
400578505,2014-11-26,PHI,BKN,91,99,8,6,15,0
400578624,2014-12-12,BKN,PHI,88,70,20,2,12,9
400578649,2014-12-15,PHI,BOS,87,105,14,8,22,2
400578831,2015-01-09,BKN,PHI,88,90,29,6,20,16
400578919,2015-01-21,PHI,NY,91,98,36,7,34,8
400579042,2015-02-06,BOS,PHI,107,96,40,11,30,19
400579270,2015-03-14,PHI,BKN,87,94,38,26,51,15
400579284,2015-03-16,BOS,PHI,108,89,52,15,36,30
400579313,2015-03-20,PHI,NY,97,81,55,14,52,17
400579443,2015-04-05,NY,PHI,101,91,60,18,62,15
400578351,2014-11-05,BOS,TOR,107,110,1,4,3,1
400578385,2014-11-09,TOR,PHI,120,88,7,0,1,6
400578645,2014-12-14,NY,TOR,90,95,6,18,21,5
400578666,2014-12-17,TOR,BKN,105,89,14,10,6,20
400578692,2014-12-21,TOR,NY,118,108,25,5,6,22
400578845,2015-01-10,TOR,BOS,109,96,23,12,11,25
400578870,2015-01-14,TOR,PHI,100,84,31,7,12,26
400578933,2015-01-23,PHI,TOR,86,91,15,28,35,8
400578991,2015-01-30,BKN,TOR,122,127,15,32,28,18
400579026,2015-02-04,TOR,BKN,93,109,28,20,17,33
400579164,2015-02-28,NY,TOR,103,98,22,37,46,12
400579177,2015-03-02,PHI,TOR,103,114,22,38,47,13
400579333,2015-03-22,TOR,NY,106,89,56,14,28,42
400579422,2015-04-03,BKN,TOR,114,109,31,45,40,35
400579432,2015-04-04,TOR,BOS,116,117,42,35,32,45
400579506,2015-04-14,BOS,TOR,95,93,33,48,42,39
400578413,2014-11-13,GS,BKN,107,99,4,4,2,6
400578766,2014-12-30,GS,PHI,126,86,26,4,5,25
400578785,2015-01-02,GS,TOR,126,105,9,24,5,26
400578957,2015-01-25,GS,BOS,114,111,27,15,6,36
400579052,2015-02-07,NY,GS,92,106,9,40,41,10
400579067,2015-02-09,PHI,GS,84,89,9,41,41,12
400579153,2015-02-27,TOR,GS,89,113,11,45,21,37
400579172,2015-03-01,BOS,GS,101,106,11,46,34,23
400579178,2015-03-02,BKN,GS,110,108,12,46,33,25
400579273,2015-03-14,GS,NY,125,94,52,13,13,52
400578360,2014-11-05,GS,LAC,121,104,2,3,0,4
400578723,2014-12-25,LAC,GS,100,86,5,23,10,20
400578735,2014-12-27,LAC,TOR,98,110,7,23,11,20
400578769,2014-12-31,LAC,NY,99,78,29,5,11,22
400578794,2015-01-03,LAC,PHI,127,91,28,4,11,23
400578906,2015-01-19,LAC,BOS,102,93,26,13,14,28
400578932,2015-01-22,LAC,BKN,123,84,25,18,14,29
400579012,2015-02-02,BKN,LAC,102,100,16,33,28,19
400579044,2015-02-06,TOR,LAC,123,107,18,33,17,34
400579224,2015-03-08,GS,LAC,106,98,23,40,12,49
400579353,2015-03-25,NY,LAC,80,111,25,47,58,14
400579367,2015-03-27,PHI,LAC,98,119,25,48,55,18
400579387,2015-03-29,BOS,LAC,106,119,25,49,41,32
400579403,2015-03-31,LAC,GS,106,110,13,61,26,49
400578318,2014-10-31,LAL,LAC,111,118,0,2,3,0
400578330,2014-11-01,GS,LAL,127,104,4,0,0,2
400578437,2014-11-16,LAL,GS,115,136,2,8,9,1
400578540,2014-11-30,LAL,TOR,129,122,4,13,13,4
400578571,2014-12-05,BOS,LAL,113,96,15,5,11,6
400578718,2014-12-23,LAL,GS,115,105,4,23,19,9
400578826,2015-01-07,LAC,LAL,114,89,25,11,12,24
400579009,2015-02-01,NY,LAL,92,80,35,13,38,10
400579107,2015-02-20,LAL,BKN,105,114,31,22,41,13
400579121,2015-02-22,LAL,BOS,118,111,33,20,41,14
400579258,2015-03-12,LAL,NY,94,101,51,13,47,17
400579291,2015-03-16,GS,LAL,108,105,49,17,13,53
400579339,2015-03-22,LAL,PHI,101,87,53,17,50,18
400579372,2015-03-27,TOR,LAL,94,83,52,19,30,43
400579385,2015-03-29,BKN,LAL,107,99,53,19,40,32
400579394,2015-03-30,PHI,LAL,111,113,53,20,57,18
400579445,2015-04-05,LAL,LAC,78,106,26,52,56,20
400579451,2015-04-07,LAC,LAL,105,100,57,20,26,53
400578305,2014-10-29,PHX,LAL,119,99,2,0,0,1
400578348,2014-11-04,LAL,PHX,106,112,1,3,5,0
400578387,2014-11-09,PHX,GS,107,95,1,5,3,4
400578408,2014-11-12,PHX,BKN,112,104,3,4,3,5
400578433,2014-11-15,LAC,PHX,120,107,5,5,3,5
400578440,2014-11-17,BOS,PHX,114,118,5,6,6,3
400578465,2014-11-21,PHI,PHX,96,122,5,8,12,0
400578493,2014-11-24,TOR,PHX,104,100,6,9,2,12
400578599,2014-12-08,LAC,PHX,121,120,10,12,5,15
400578685,2014-12-20,NY,PHX,90,99,14,14,24,5
400578750,2014-12-28,LAL,PHX,107,116,14,18,22,9
400578783,2015-01-02,PHX,PHI,112,96,27,4,16,19
400578799,2015-01-04,PHX,TOR,125,109,10,24,16,20
400578914,2015-01-19,PHX,LAL,115,100,30,12,18,25
400578951,2015-01-25,PHX,LAC,100,120,14,30,20,26
400579007,2015-01-31,GS,PHX,106,87,21,28,8,37
400579127,2015-02-23,PHX,BOS,110,115,33,21,28,29
400579208,2015-03-06,BKN,PHX,100,108,30,33,35,25
400579236,2015-03-09,PHX,GS,80,98,12,50,32,33
400579280,2015-03-15,PHX,NY,102,89,53,13,33,35
400579418,2015-04-02,GS,PHX,107,106,38,38,13,62
400579508,2015-04-14,PHX,LAC,101,112,26,56,43,39
400578306,2014-10-29,SAC,GS,77,95,0,1,1,0
400578331,2014-11-02,LAC,SAC,92,98,1,2,1,2
400578371,2014-11-07,PHX,SAC,112,114,1,5,3,3
400578553,2014-12-02,SAC,TOR,109,117,4,14,9,9
400578607,2014-12-09,LAL,SAC,98,95,11,11,16,6
400578694,2014-12-21,SAC,LAL,108,101,19,8,15,12
400578707,2014-12-22,GS,SAC,128,108,16,12,3,23
400578734,2014-12-26,SAC,PHX,106,115,14,17,17,12
400578743,2014-12-27,SAC,NY,135,129,27,5,17,13
400578753,2014-12-29,BKN,SAC,107,99,18,13,16,14
400578767,2014-12-31,BOS,SAC,106,84,19,13,18,11
