id,date,home_team,visit_team,home_team_score,visit_team_score
400828066,2015-11-20,Boston,Brooklyn Nets,120,95
400828084,2015-11-22,Brooklyn Nets,Boston,111,101
400828382,2016-01-02,Boston,Brooklyn Nets,97,100
400828400,2016-01-04,Brooklyn Nets,Boston,94,103
400828170,2015-12-04,New York Knicks,Brooklyn,108,91
400828341,2015-12-27,Boston,New York Knicks,100,91
400828458,2016-01-12,New York Knicks,Boston,120,114
400828466,2016-01-13,Brooklyn,New York Knicks,110,104
400828617,2016-02-02,New York Knicks,Boston,89,97
400828694,2016-02-19,Brooklyn,New York Knicks,109,98
400828802,2016-03-04,Boston,New York Knicks,105,104
400829017,2016-04-01,New York Knicks,Brooklyn,105,91
400827892,2015-10-28,Boston,Philadelphia 76ers,112,95
400828104,2015-11-25,Boston,Philadelphia 76ers,84,80
400828158,2015-12-02,NY Knicks,Philadelphia 76ers,99,87
400828216,2015-12-10,Brooklyn,Philadelphia 76ers,100,91
400828275,2015-12-18,Philadelphia 76ers,NY Knicks,97,107
400828502,2016-01-18,NY Knicks,Philadelphia 76ers,119,113
400861758,2016-01-24,Philadelphia 76ers,Boston,92,112
400828651,2016-02-06,Philadelphia 76ers,Brooklyn,103,98
400828851,2016-03-11,Philadelphia 76ers,Brooklyn,95,89
400828886,2016-03-15,Brooklyn,Philadelphia 76ers,131,114
400828926,2016-03-20,Philadelphia 76ers,Boston,105,120
400829067,2016-04-08,Philadelphia 76ers,NY Knicks,102,109
400827911,2015-10-30,Boston,Toronto Raptors,103,113
400827996,2015-11-10,Toronto Raptors,NY Knicks,109,111
400828002,2015-11-11,Philadelphia,Toronto Raptors,103,119
400828242,2015-12-13,Toronto Raptors,Philadelphia,96,76
400828416,2016-01-06,Brooklyn,Toronto Raptors,74,91
400828441,2016-01-09,Philadelphia,Toronto Raptors,95,108
400828508,2016-01-18,Toronto Raptors,Brooklyn,112,100
400828520,2016-01-20,Toronto Raptors,Boston,115,109
400828581,2016-01-28,Toronto Raptors,NY Knicks,103,93
400828722,2016-02-22,NY Knicks,Toronto Raptors,95,122
400828831,2016-03-08,Toronto Raptors,Brooklyn,104,99
400828910,2016-03-18,Toronto Raptors,Boston,105,91
400828944,2016-03-23,Boston,Toronto Raptors,91,79
400829089,2016-04-10,NY Knicks,Toronto Raptors,89,93
400829101,2016-04-12,Toronto Raptors,Philadelphia,122,98
400829105,2016-04-13,Brooklyn,Toronto Raptors,96,103
400828031,2015-11-14,Golden State Warriors,Brooklyn,107,99
400828051,2015-11-17,Golden State Warriors,Toronto,115,110
400828177,2015-12-05,Toronto,Golden State Warriors,109,112
400828187,2015-12-06,Brooklyn,Golden State Warriors,98,114
400828223,2015-12-11,Boston,Golden State Warriors,119,124
400828594,2016-01-30,Philadelphia,Golden State Warriors,105,108
400828605,2016-01-31,NY Knicks,Golden State Warriors,95,116
400828898,2016-03-16,Golden State Warriors,NY Knicks,121,85
400828981,2016-03-27,Golden State Warriors,Philadelphia,117,105
400829023,2016-04-01,Golden State Warriors,Boston,106,109
400827956,2015-11-04,Golden State,LA Clippers,112,108
400828064,2015-11-19,LA Clippers,Golden State,117,124
400828083,2015-11-22,LA Clippers,Toronto,80,91
400828231,2015-12-12,Brooklyn,LA Clippers,100,105
400828392,2016-01-02,LA Clippers,Philadelphia,130,99
400828535,2016-01-22,NY Knicks,LA Clippers,88,116
400828553,2016-01-24,Toronto,LA Clippers,112,94
400828664,2016-02-08,Philadelphia,LA Clippers,92,98
400828679,2016-02-10,Boston,LA Clippers,139,134
400828709,2016-02-20,LA Clippers,Golden State,112,115
400828859,2016-03-11,LA Clippers,NY Knicks,101,94
400828953,2016-03-23,Golden State,LA Clippers,114,98
400828993,2016-03-28,LA Clippers,Boston,114,90
400827964,2015-11-06,Brooklyn,Los Angeles Lakers,98,104
400827982,2015-11-08,NY Knicks,Los Angeles Lakers,99,95
400828075,2015-11-20,Los Angeles Lakers,Toronto,91,102
400828101,2015-11-24,Golden State,Los Angeles Lakers,111,77
400828150,2015-12-01,Philadelphia,Los Angeles Lakers,103,91
400828195,2015-12-07,Toronto,Los Angeles Lakers,102,93
400828327,2015-12-25,Los Angeles Lakers,LA,84,94
400828363,2015-12-30,Boston,Los Angeles Lakers,104,112
400828381,2016-01-01,Los Angeles Lakers,Philadelphia,93,84
400828411,2016-01-05,Los Angeles Lakers,Golden State,88,109
400828479,2016-01-14,Golden State,Los Angeles Lakers,116,98
400828593,2016-01-29,LA,Los Angeles Lakers,105,93
400828783,2016-03-01,Los Angeles Lakers,Brooklyn,107,101
400828818,2016-03-06,Los Angeles Lakers,Golden State,112,95
400828874,2016-03-13,Los Angeles Lakers,NY Knicks,87,90
400829040,2016-04-03,Los Angeles Lakers,Boston,100,107
400829051,2016-04-05,LA,Los Angeles Lakers,103,81
400829059,2016-04-06,Los Angeles Lakers,LA,81,91
400827939,2015-11-02,LA,Phoenix Suns,102,96
400828013,2015-11-12,Phoenix Suns,LA,118,104
400828044,2015-11-16,Phoenix Suns,Los Angeles,120,101
400828123,2015-11-27,Phoenix Suns,Golden State,116,135
400828137,2015-11-29,Toronto,Phoenix Suns,102,107
400828151,2015-12-01,Brooklyn,Phoenix Suns,94,91
400828268,2015-12-16,Golden State,Phoenix Suns,128,103
400828338,2015-12-26,Phoenix Suns,Philadelphia,104,111
400828397,2016-01-03,Los Angeles,Phoenix Suns,97,77
400828482,2016-01-15,Boston,Phoenix Suns,117,103
400828564,2016-01-26,Philadelphia,Phoenix Suns,113,103
400828587,2016-01-29,NY Knicks,Phoenix Suns,102,84
400828619,2016-02-02,Phoenix Suns,Toronto,97,104
400828686,2016-02-10,Phoenix Suns,Golden State,104,112
400828726,2016-02-22,LA,Phoenix Suns,124,84
400828745,2016-02-25,Phoenix Suns,Brooklyn,106,116
400828843,2016-03-09,Phoenix Suns,NY Knicks,97,128
400828868,2016-03-12,Golden State,Phoenix Suns,123,116
400828914,2016-03-18,Los Angeles,Phoenix Suns,90,95
400828952,2016-03-23,Phoenix Suns,Los Angeles,119,107
400828977,2016-03-26,Phoenix Suns,Boston,99,102
400829116,2016-04-13,Phoenix Suns,LA,114,105
400827903,2015-10-28,Sacramento Kings,LA,104,111
400827918,2015-10-30,Sacramento Kings,Los Angeles,132,114
400827925,2015-10-31,LA,Sacramento Kings,114,109
400827954,2015-11-04,Phoenix,Sacramento Kings,118,97
400827979,2015-11-07,Sacramento Kings,Golden State,94,103
400828024,2015-11-13,Sacramento Kings,Brooklyn,111,109
400828037,2015-11-15,Sacramento Kings,Toronto,107,101
400828132,2015-11-28,Golden State,Sacramento Kings,120,101
400828169,2015-12-03,Sacramento Kings,Boston,97,114
400828219,2015-12-10,Sacramento Kings,NY Knicks,99,97
400828295,2015-12-20,Toronto,Sacramento Kings,94,104
400828355,2015-12-28,Golden State,Sacramento Kings,122,103
400828370,2015-12-30,Sacramento Kings,Philadelphia,105,110
400828383,2016-01-02,Sacramento Kings,Phoenix,142,119
400828426,2016-01-07,Sacramento Kings,Los Angeles,118,115
400828443,2016-01-09,Sacramento Kings,Golden State,116,128
400828496,2016-01-16,LA,Sacramento Kings,103,110
400828525,2016-01-20,Los Angeles,Sacramento Kings,93,112
400828641,2016-02-05,Brooklyn,Sacramento Kings,128,119
400828660,2016-02-07,Boston,Sacramento Kings,128,119
400828678,2016-02-10,Philadelphia,Sacramento Kings,110,114
400828754,2016-02-26,Sacramento Kings,LA,107,117
400828889,2016-03-15,Los Angeles,Sacramento Kings,98,106
400828929,2016-03-20,NY Knicks,Sacramento Kings,80,88
400828966,2016-03-25,Sacramento Kings,Phoenix,116,94
400829098,2016-04-11,Phoenix,Sacramento Kings,101,105
400827893,2015-10-28,Brooklyn,Chicago Bulls,100,115
400827987,2015-11-09,Philadelphia,Chicago Bulls,88,111
400828061,2015-11-18,Phoenix,Chicago Bulls,97,103
400828074,2015-11-20,Golden State,Chicago Bulls,106,94
400828196,2015-12-07,Chicago Bulls,Phoenix,101,103
400828206,2015-12-09,Boston,Chicago Bulls,105,100
400828217,2015-12-10,Chicago Bulls,LA,83,80
400828248,2015-12-14,Chicago Bulls,Philadelphia,115,96
400828287,2015-12-19,NY Knicks,Chicago Bulls,107,91
400828301,2015-12-21,Chicago Bulls,Brooklyn,102,105
400828350,2015-12-28,Chicago Bulls,Toronto,104,97
400828380,2016-01-01,Chicago Bulls,NY Knicks,108,81
400828394,2016-01-03,Toronto,Chicago Bulls,113,115
400828424,2016-01-07,Chicago Bulls,Boston,101,92
400828474,2016-01-14,Philadelphia,Chicago Bulls,111,115
400828521,2016-01-20,Chicago Bulls,Golden State,94,125
400828533,2016-01-22,Boston,Chicago Bulls,110,101
400828584,2016-01-28,Los Angeles,Chicago Bulls,91,114
400828601,2016-01-31,LA,Chicago Bulls,120,93
400828631,2016-02-03,Sacramento,Chicago Bulls,102,107
400828696,2016-02-19,Chicago Bulls,Toronto,116,106
400828718,2016-02-21,Chicago Bulls,Los Angeles,126,115
400828878,2016-03-14,Toronto,Chicago Bulls,107,109
400828903,2016-03-17,Chicago Bulls,Brooklyn,118,102
400828936,2016-03-21,Chicago Bulls,Sacramento,109,102
400828947,2016-03-23,Chicago Bulls,NY Knicks,107,115
400828957,2016-03-24,NY Knicks,Chicago Bulls,106,94
400829109,2016-04-13,Chicago Bulls,Philadelphia,115,105
400827889,2015-10-27,Chicago,Cleveland Cavaliers,97,95
400827933,2015-11-02,Philadelphia,Cleveland Cavaliers,100,107
400827950,2015-11-04,Cleveland Cavaliers,NY Knicks,96,86
400827965,2015-11-06,Cleveland Cavaliers,Philadelphia,108,102
400828017,2015-11-13,NY Knicks,Cleveland Cavaliers,84,90
400828106,2015-11-25,Toronto,Cleveland Cavaliers,103,99
400828127,2015-11-28,Cleveland Cavaliers,Brooklyn,90,88
400828254,2015-12-15,Boston,Cleveland Cavaliers,77,89
400828292,2015-12-20,Cleveland Cavaliers,Philadelphia,108,86
400828311,2015-12-23,Cleveland Cavaliers,NY Knicks,91,84
400828325,2015-12-25,Golden State,Cleveland Cavaliers,89,83
400828353,2015-12-28,Phoenix,Cleveland Cavaliers,97,101
400828398,2016-01-04,Cleveland Cavaliers,Toronto,122,100
400828446,2016-01-10,Philadelphia,Cleveland Cavaliers,85,95
400828509,2016-01-18,Cleveland Cavaliers,Golden State,98,132
400828518,2016-01-20,Brooklyn,Cleveland Cavaliers,78,91
400828527,2016-01-21,Cleveland Cavaliers,LA,115,102
400828546,2016-01-23,Cleveland Cavaliers,Chicago,83,96
400828571,2016-01-27,Cleveland Cavaliers,Phoenix,115,93
400828642,2016-02-05,Cleveland Cavaliers,Boston,103,104
400828662,2016-02-08,Cleveland Cavaliers,Sacramento,120,100
400828682,2016-02-10,Cleveland Cavaliers,Los Angeles,120,111
400828690,2016-02-18,Cleveland Cavaliers,Chicago,106,95
400828751,2016-02-26,Toronto,Cleveland Cavaliers,99,97
400828809,2016-03-05,Cleveland Cavaliers,Boston,120,103
400828844,2016-03-09,Sacramento,Cleveland Cavaliers,111,120
400828849,2016-03-10,Los Angeles,Cleveland Cavaliers,108,120
400828870,2016-03-13,LA,Cleveland Cavaliers,90,114
400828956,2016-03-24,Brooklyn,Cleveland Cavaliers,104,95
