id,First_name,Last_name,Full_name,position,team,player,MIN,PTS,FG_made,FG_taken,FT_made,FT_taken,3PT_made,3PT_taken,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,fpoints
400899380.0,Trevor,Booker, Trevor  Booker,PF,BKN,T. BookerT. Booker,24,8,4,5,0,0,0,1,1,6,7,5,3,0,1,0,5,28.9
400899380.0,Rondae,Hollis-Jefferson, Rondae  Hollis-Jefferson,SF,BKN,R. Hollis-JeffersonR. Hollis-Jefferson,24,5,1,3,3,4,0,1,0,2,2,0,1,0,1,1,-9,8.4
400899380.0,Brook,Lopez, Brook  Lopez,C,BKN,B. LopezB. Lopez,21,7,1,7,4,4,1,2,2,3,5,0,0,0,2,1,-10,11.0
400899380.0,Jeremy,Lin, Jeremy  Lin,PG,BKN,J. LinJ. Lin,28,18,6,14,4,5,2,5,1,2,3,3,0,1,2,1,-3,26.1
400899380.0,Luis,Scola, Luis  Scola,PF,BKN,L. ScolaL. Scola,22,8,3,8,1,2,1,5,0,1,1,3,0,0,2,3,-19,11.7
400899380.0,Joe,Harris, Joe  Harris,SF,BKN,J. HarrisJ. Harris,25,16,6,15,0,0,4,9,0,4,4,3,2,2,3,3,3,30.3
400899380.0,Justin,Hamilton, Justin  Hamilton,C,BKN,J. HamiltonJ. Hamilton,25,19,7,12,2,3,3,6,6,4,10,2,0,0,1,4,0,33.0
400899380.0,Isaiah,Whitehead, Isaiah  Whitehead,PG,BKN,I. WhiteheadI. Whitehead,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,12,2.7
400899380.0,Greivis,Vasquez, Greivis  Vasquez,PG,BKN,G. VasquezG. Vasquez,18,0,0,1,0,0,0,1,0,0,0,3,1,0,0,3,-13,6.5
400899380.0,Sean,Kilpatrick, Sean  Kilpatrick,SG,BKN,S. KilpatrickS. Kilpatrick,22,13,5,13,2,2,1,6,1,3,4,2,0,0,2,0,-7,18.8
400899380.0,Amir,Johnson, Amir  Johnson,PF,BOS,A. JohnsonA. Johnson,20,8,4,6,0,1,0,0,4,3,7,2,1,0,4,2,5,17.4
400899380.0,Jae,Crowder, Jae  Crowder,SF,BOS,J. CrowderJ. Crowder,29,21,9,15,0,0,3,8,0,5,5,2,2,1,2,2,3,34.0
400899380.0,Al,Horford, Al  Horford,C,BOS,A. HorfordA. Horford,27,11,5,8,0,0,1,4,1,4,5,6,0,4,2,2,13,32.0
400899380.0,Isaiah,Thomas, Isaiah  Thomas,PG,BOS,I. ThomasI. Thomas,33,25,7,14,9,9,2,7,0,6,6,8,2,0,3,3,15,45.2
400899380.0,Avery,Bradley, Avery  Bradley,SG,BOS,A. BradleyA. Bradley,34,17,7,15,0,0,3,4,4,5,9,6,1,0,3,4,3,35.8
400899380.0,Jonas,Jerebko, Jonas  Jerebko,PF,BOS,J. JerebkoJ. Jerebko,19,4,1,8,2,2,0,5,0,1,1,3,4,0,1,1,2,16.7
400899380.0,Gerald,Green, Gerald  Green,SF,BOS,G. GreenG. Green,15,9,4,7,0,0,1,2,1,4,5,2,0,0,1,1,-9,17.0
400899380.0,Jaylen,Brown, Jaylen  Brown,SF,BOS,J. BrownJ. Brown,19,9,3,4,3,4,0,0,0,2,2,1,1,2,1,1,0,17.9
400899380.0,Tyler,Zeller, Tyler  Zeller,C,BOS,T. ZellerT. Zeller,16,13,6,7,1,2,0,0,2,2,4,3,0,2,1,2,-9,25.3
400899380.0,Terry,Rozier, Terry  Rozier,PG,BOS,T. RozierT. Rozier,28,5,2,5,0,0,1,2,0,3,3,3,2,0,1,2,2,16.1
400899667.0,Amir,Johnson, Amir  Johnson,PF,BOS,A. JohnsonA. Johnson,19,2,1,2,0,0,0,0,2,7,9,1,0,0,1,2,9,13.3
400899667.0,Jae,Crowder, Jae  Crowder,SF,BOS,J. CrowderJ. Crowder,22,15,6,11,0,1,3,7,1,4,5,1,0,0,0,2,13,22.5
400899667.0,Al,Horford, Al  Horford,C,BOS,A. HorfordA. Horford,30,17,7,12,0,0,3,4,1,4,5,8,1,2,2,2,21,39.0
400899667.0,Isaiah,Thomas, Isaiah  Thomas,PG,BOS,I. ThomasI. Thomas,32,23,8,21,2,2,5,9,0,1,1,5,0,1,2,1,10,31.7
400899667.0,Avery,Bradley, Avery  Bradley,SG,BOS,A. BradleyA. Bradley,34,22,10,22,1,2,1,7,1,6,7,1,5,0,2,3,20,39.9
400899667.0,Jonas,Jerebko, Jonas  Jerebko,PF,BOS,J. JerebkoJ. Jerebko,17,10,4,4,1,1,1,1,1,0,1,0,1,0,1,2,-8,12.2
400899667.0,Jaylen,Brown, Jaylen  Brown,SF,BOS,J. BrownJ. Brown,4,0,0,1,0,0,0,0,1,2,3,0,0,0,2,1,-2,1.6
400899667.0,Tyler,Zeller, Tyler  Zeller,C,BOS,T. ZellerT. Zeller,8,2,1,2,0,0,0,0,1,3,4,0,0,2,0,1,9,10.8
400899667.0,Kelly,Olynyk, Kelly  Olynyk,C,BOS,K. OlynykK. Olynyk,19,10,3,9,2,2,2,5,1,1,2,1,2,0,1,4,0,16.9
400899667.0,Marcus,Smart, Marcus  Smart,PG,BOS,M. SmartM. Smart,31,4,2,10,0,0,0,4,2,6,8,8,2,1,1,2,13,30.6
400899667.0,Terry,Rozier, Terry  Rozier,PG,BOS,T. RozierT. Rozier,23,6,3,4,0,0,0,1,1,5,6,1,2,0,1,2,6,17.7
400899667.0,James,Young, James  Young,SG,BOS,J. YoungJ. Young,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
400899667.0,Trevor,Booker, Trevor  Booker,PF,BKN,T. BookerT. Booker,33,18,8,13,1,2,1,2,5,7,12,3,4,0,3,3,-34,41.9
