id,away_losses,away_wins,home_losses,home_wins
400827888,0,1,1,0
400827889,1,0,0,1
400827890,1,0,0,1
400827891,0,1,1,0
400827892,1,0,0,1
400827893,0,2,1,0
400827894,1,0,0,2
400827895,1,0,0,1
400827896,1,0,0,1
400827897,0,1,1,0
400827898,1,1,1,0
400827899,0,1,1,0
400827900,1,0,0,1
400827901,0,1,1,0
400827902,2,0,0,1
400827903,0,1,1,0
400827904,0,1,1,0
400827905,1,1,2,0
400827906,1,1,1,1
400827907,1,1,0,2
400827908,1,1,1,2
400827909,0,2,2,0
400827910,1,1,2,0
400827911,0,2,1,1
400827912,1,2,0,3
400827913,2,0,1,2
400827914,0,2,2,0
400827915,2,0,1,1
400827916,0,2,1,1
400827917,0,2,2,0
400827918,2,0,1,1
400827919,1,1,1,1
400827920,1,2,3,0
400827921,1,2,1,2
400827922,0,3,3,0
400827923,3,0,1,2
400827924,1,2,2,1
400827925,2,1,0,3
400827926,1,3,3,0
400827927,1,2,2,1
400827928,3,0,1,2
400827929,3,0,0,3
400827930,3,0,1,3
400827931,2,1,0,3
400827932,1,2,3,0
400827933,1,3,3,0
400827934,3,1,4,0
400827935,1,3,2,2
400827936,1,3,3,1
400827937,2,2,1,2
400827938,2,2,0,4
400827939,2,2,0,4
400827940,2,3,3,1
400827941,3,1,1,3
400827942,1,4,2,2
400827943,3,1,4,0
400827944,0,4,2,2
400827945,2,3,3,1
400827946,2,2,4,0
400827947,3,1,3,2
400827948,2,3,1,3
400827949,5,0,1,5
400827950,3,2,1,4
400827951,4,1,3,2
400827952,4,0,3,2
400827953,0,5,2,3
400827954,4,1,2,3
400827955,2,3,2,2
400827956,1,4,0,5
400827957,3,3,2,4
400827958,2,3,2,2
400827959,3,2,3,2
400827960,2,3,3,2
400827961,3,3,2,4
400827962,1,5,4,2
400827963,2,3,3,2
400827964,4,1,6,0
400827965,5,0,1,5
400827966,3,3,4,2
400827967,3,3,3,3
400827968,1,6,5,0
400827969,1,4,3,3
400827970,4,2,0,6
400827971,3,3,5,1
400827972,2,3,3,4
400827973,3,3,1,7
400827974,4,3,6,0
400827975,6,0,3,3
400827976,7,0,3,4
400827977,4,2,2,4
400827978,4,3,2,4
400827979,0,7,6,1
400827980,3,4,2,4
400827981,4,3,1,6
400827982,5,1,4,3
400827983,2,5,3,4
400827984,4,3,3,4
400827985,1,5,3,4
400827986,5,3,4,4
