,Full_name_x,Full_name_y,fpoints,Points_allowed,best_ratio
55, Markieff  Morris, Paul  Millsap,25.85,14.6666666667,1.7625
41, George  Hill, Austin  Rivers,27.448,16.8024691358,1.63356943424
49, Otto  Porter, Kent  Bazemore,26.81625,18.5735294118,1.44378859857
68, Rajon  Rondo, Marcus  Smart,24.731884058,17.5696202532,1.40765046151
93, Rodney  Hood, J.J.  Redick,19.786440678,15.8961038961,1.24473523873
69, Michael  Carter-Williams, Marcus  Smart,15.6911111111,17.5696202532,0.893081972461
42, Shelvin  Mack, Austin  Rivers,14.7454545455,16.8024691358,0.877576648187
56, Jason  Smith, Paul  Millsap,11.8527027027,14.6666666667,0.808138820637
94, Alec  Burks, J.J.  Redick,11.5,15.8961038961,0.723447712418
70, Jerian  Grant, Marcus  Smart,11.9158730159,17.5696202532,0.678208910844
50, Kelly  Oubre Jr., Kent  Bazemore,12.464556962,18.5735294118,0.671092536355
43, Dante  Exum, Austin  Rivers,10.953030303,16.8024691358,0.651870282546
71, Cameron  Payne, Marcus  Smart,8.35454545455,17.5696202532,0.475510872412
72, Isaiah  Canaan, Marcus  Smart,8.24358974359,17.5696202532,0.469195669843
44, Raul  Neto, Austin  Rivers,5.6,16.8024691358,0.333284349743
57, Daniel  Ochefu, Paul  Millsap,2.94210526316,14.6666666667,0.200598086124
58, Chris  McCullough, Paul  Millsap,2.2,14.6666666667,0.15
59, Danuel  House, Paul  Millsap,1.2,14.6666666667,0.081818181818
