id,away_losses,away_wins,home_losses,home_wins
400488874,1,0,0,1
400488875,1,0,0,1
400488876,1,0,0,1
400488877,1,0,0,1
400488878,1,1,0,1
400488879,1,0,0,1
400488880,1,0,0,1
400488881,1,0,0,1
400488882,1,0,0,1
400488883,2,0,0,1
400488884,0,2,1,0
400488885,1,0,0,1
400488886,1,0,0,1
400488887,0,1,1,0
400488888,1,0,0,1
400488889,1,0,0,1
400488890,1,1,0,1
400488891,1,1,1,1
400488892,1,1,1,1
400488893,1,1,1,1
400488894,2,0,2,1
400488895,0,2,2,0
400488896,1,1,1,1
400488897,1,1,2,0
400488898,1,1,0,2
400488899,1,1,1,1
400488900,1,1,0,2
400488901,2,1,1,1
400488902,1,1,2,0
400488903,2,0,0,2
400488904,1,2,1,1
400488905,0,2,2,1
400488906,2,1,0,3
400488907,2,1,0,3
400488908,2,1,2,1
400488909,2,1,1,2
400488910,1,2,2,1
400488911,0,3,3,0
400488912,1,2,1,2
400488913,2,1,1,2
400488914,3,0,1,2
400488915,3,0,2,2
400488916,2,1,2,2
400488917,1,2,1,2
400488918,0,3,2,1
400488919,2,1,2,2
400488920,1,3,2,2
400488921,1,3,1,3
400488922,4,0,2,2
400488923,1,3,1,3
400488924,2,3,2,2
400488925,4,0,2,2
400488926,0,4,2,2
400488927,2,2,3,1
400488928,1,3,3,1
400488929,3,2,1,3
400488930,1,3,3,0
400488931,1,4,2,2
400488932,2,2,3,1
400488933,3,2,2,3
400488934,3,1,0,5
400488935,2,3,2,3
400488936,3,1,2,3
400488937,5,0,4,1
400488938,3,2,3,2
400488939,3,2,2,2
400488940,1,4,2,3
400488941,2,3,1,4
400488942,2,3,1,3
400488943,3,3,2,4
400488944,3,2,3,1
400488945,3,3,2,4
400488946,3,2,3,3
400488947,4,2,0,6
400488948,4,2,3,3
400488949,4,2,2,4
400488950,3,2,3,2
400488951,1,4,3,2
400488952,6,0,3,2
400488953,3,3,2,4
400488954,4,3,3,3
400488955,2,4,1,5
400488956,4,1,2,4
400488957,4,1,2,3
400488958,7,0,4,3
400488959,4,3,3,3
400488960,0,7,4,2
400488961,3,4,4,3
400488962,4,3,3,4
400488963,3,4,3,4
400488964,3,4,3,3
400488965,3,4,3,2
400488966,2,4,5,1
400488967,1,6,4,2
400488968,4,2,1,5
400488969,4,3,2,5
400488970,2,5,5,3
400488971,3,4,4,3
400488972,4,3,0,8
400488973,1,7,4,4
400488974,5,3,4,4
400488975,5,3,3,3
400488976,5,3,3,5
400488977,4,2,8,0
400488978,4,2,2,5
400488979,3,5,3,5
400488980,4,2,3,5
400488981,5,2,3,5
400488982,5,2,3,5
400488983,5,3,5,4
400488984,5,2,5,4
400488985,4,5,4,5
400488986,4,4,5,4
400488987,5,4,5,3
400488988,6,3,3,6
400488989,4,3,4,4
400488990,6,2,1,8
400488991,6,4,4,3
400488992,6,3,8,1
400488993,3,5,2,6
400488994,5,2,5,2
400488995,2,5,3,6
400488996,4,6,5,3
400488997,3,5,3,6
400488998,6,2,0,9
400488999,3,4,6,4
400489000,5,5,4,5
400489001,2,7,6,4
400489002,4,5,7,3
400489003,4,5,3,6
400489004,4,6,4,4
400489005,5,3,4,5
400489006,1,9,9,1
400489007,5,4,7,4
400489008,5,3,6,2
400489009,3,7,5,5
400489010,4,6,6,4
400489011,7,4,7,2
400489012,4,6,6,3
400489013,1,9,3,5
400489014,5,4,4,7
400489015,7,4,4,7
400489016,6,5,6,4
400489017,3,6,7,2
400489018,10,1,3,7
400489019,6,3,3,7
400489020,2,8,7,4
400489021,5,5,7,2
400489022,6,3,7,5
400489023,2,9,7,3
400489024,6,5,3,6
400489025,6,4,3,7
400489026,7,5,4,7
400489027,3,8,11,1
400489028,5,6,4,7
400489029,5,7,7,3
400489030,7,3,6,4
400489031,5,6,3,8
400489032,8,4,4,8
400489033,5,5,7,3
400489034,8,3,6,6
400489035,7,4,8,4
400489036,1,10,8,3
400489037,3,9,7,4
400489038,7,5,8,5
400489039,7,4,5,7
400489040,2,10,8,2
400489041,4,8,6,7
400489042,12,1,6,5
400489043,9,4,1,10
400489044,7,4,6,5
400489045,5,8,4,8
400489046,5,7,4,8
400489047,5,8,3,8
400489048,4,6,6,5
400489049,6,6,7,6
400489050,9,2,8,6
400489051,8,4,7,6
400489052,1,11,10,4
400489053,5,8,8,4
400489054,1,11,6,7
400489055,9,3,6,8
400489056,9,4,6,6
400489057,13,1,4,9
400489058,5,6,2,11
400489059,5,8,7,6
400489060,8,4,5,9
400489061,9,6,1,12
400489062,9,3,8,5
400489063,10,5,6,8
400489064,8,4,3,10
400489065,7,8,5,9
400489066,7,7,10,2
400489067,10,4,1,12
400489068,5,9,6,6
400489069,2,12,6,8
400489070,8,5,10,3
400489071,6,6,5,10
400489072,6,7,9,4
400489073,14,1,3,9
400489074,9,4,7,7
400489075,10,6,8,7
400489076,8,8,1,13
400489077,11,2,8,6
400489078,7,7,3,11
400489079,5,10,7,7
400489080,6,7,6,9
400489081,7,6,1,13
400489082,7,6,14,2
400489083,10,3,2,13
400489084,10,4,8,6
400489085,8,7,8,6
400489086,9,5,7,8
400489087,6,9,8,6
400489088,1,14,9,7
400489089,10,6,9,6
400489090,7,8,11,6
400489091,8,8,11,4
400489092,3,12,11,4
400489093,7,7,9,6
400489094,8,8,5,11
400489095,8,7,12,2
400489096,6,8,9,8
400489097,2,13,3,10
400489098,7,9,6,10
400489099,3,13,7,8
400489100,11,3,5,11
400489101,13,2,9,8
400489102,2,14,10,6
400489103,3,13,9,6
400489104,7,10,8,9
400489105,12,4,11,7
400489106,8,9,10,6
400489107,12,4,5,12
400489108,8,9,3,11
400489109,9,7,1,15
400489110,8,7,11,6
400489111,12,3,6,9
400489112,7,9,15,2
400489113,5,12,10,4
400489114,9,9,9,8
400489115,8,7,12,5
400489116,12,5,8,8
400489117,9,9,8,10
400489118,5,13,3,14
400489119,15,3,8,9
400489120,12,7,13,3
400489121,6,10,10,6
400489122,1,16,6,12
400489123,12,6,10,7
400489124,8,10,11,4
400489125,10,8,3,14
400489126,10,9,3,12
400489127,8,8,13,3
400489128,3,14,9,9
400489129,11,6,9,9
400489130,8,9,9,7
400489131,10,9,3,15
400489132,6,13,15,4
400489133,2,16,3,15
400489134,12,6,12,7
400489135,14,3,12,8
400489136,6,11,13,5
400489137,10,8,4,14
400489138,9,9,8,9
400489139,11,8,8,11
400489140,3,13,12,4
400489141,11,6,8,11
400489142,7,11,12,6
400489143,7,12,10,10
400489144,9,10,7,13
400489145,10,9,15,3
400489146,8,12,9,9
400489147,2,17,16,4
400489149,4,13,3,16
400489150,13,4,14,5
400489151,7,13,9,9
400489152,5,14,9,8
400489153,13,7,11,9
400489154,15,4,10,9
400489155,13,6,10,11
400489156,8,11,12,9
400489157,13,6,13,5
400489158,9,11,7,14
400489159,4,14,10,9
400489160,12,6,9,11
400489161,17,4,3,17
400489162,9,10,13,4
400489163,8,12,14,7
400489164,8,13,13,7
400489165,10,10,10,8
400489166,9,12,10,9
400489167,5,15,11,9
400489168,14,6,16,4
400489169,2,18,4,15
400489170,13,5,18,4
400489171,8,13,4,17
400489172,12,10,14,5
400489173,5,16,11,10
400489174,14,6,7,15
400489175,3,18,4,15
400489176,12,7,10,10
400489177,10,12,11,10
400489178,8,14,15,7
400489179,8,13,11,9
400489180,15,6,10,10
400489181,4,18,19,4
400489182,9,13,13,6
400489183,15,5,13,8
400489184,6,16,3,19
400489185,4,16,13,7
400489186,4,16,11,11
400489187,13,10,14,7
400489188,11,10,12,10
400489189,16,5,11,8
400489190,9,12,11,10
400489191,15,7,12,10
400489192,8,15,14,10
400489193,4,17,11,10
400489194,4,17,17,5
400489195,16,7,11,11
400489196,13,10,10,10
400489197,12,8,15,6
400489198,19,5,14,6
400489199,10,13,10,13
400489200,9,15,14,8
400489201,8,15,4,19
400489202,13,10,3,20
400489203,13,9,16,7
400489204,17,7,13,8
400489205,12,9,11,12
400489206,16,6,14,11
400489207,15,8,13,11
400489208,12,10,10,11
400489209,12,10,4,18
400489210,12,9,18,5
400489211,12,11,4,18
400489212,19,6,9,13
400489213,15,6,9,13
400489214,8,16,11,13
400489215,12,11,14,10
400489216,9,16,13,9
400489217,14,9,6,17
400489218,12,12,16,7
400489219,13,9,13,9
400489220,4,20,18,7
400489221,19,5,10,14
400489222,4,19,20,6
400489223,9,16,15,7
400489224,12,12,13,10
400489225,4,21,14,11
400489226,17,7,4,19
400489227,11,11,9,14
400489228,12,13,9,14
400489229,14,12,4,20
400489230,13,11,12,13
400489231,13,12,14,12
400489232,19,7,15,9
